         62507 function calls (55307 primitive calls) in 0.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.292    0.003    0.292    0.003 {method 'recv' of '_socket.socket' objects}
      350    0.013    0.000    0.013    0.000 {method 'write' of '_io.TextIOWrapper' objects}
15236/8036    0.009    0.000    0.015    0.000 encoder.py:333(_iterencode_dict)
       66    0.005    0.000    0.005    0.000 encoder.py:204(iterencode)
       92    0.004    0.000    0.004    0.000 {method 'sendall' of '_socket.socket' objects}
     7476    0.004    0.000    0.011    0.000 encoder.py:277(_iterencode_list)
      350    0.004    0.000    0.004    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      175    0.004    0.000    0.008    0.000 __init__.py:288(__init__)
     8036    0.003    0.000    0.017    0.000 encoder.py:413(_iterencode)
      525    0.003    0.000    0.012    0.000 __init__.py:655(format)
       66    0.002    0.000    0.025    0.000 encoder.py:182(encode)
     1554    0.002    0.000    0.002    0.000 Character.py:26(display)
      350    0.002    0.000    0.007    0.000 __init__.py:1062(flush)
      350    0.002    0.000    0.002    0.000 {built-in method time.localtime}
      350    0.002    0.000    0.028    0.000 __init__.py:1073(emit)
      175    0.002    0.000    0.002    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      525    0.002    0.000    0.002    0.000 __init__.py:435(_format)
     6454    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      350    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      175    0.001    0.000    0.010    0.000 handlers.py:175(shouldRollover)
      350    0.001    0.000    0.042    0.000 __init__.py:941(handle)
      175    0.001    0.000    0.002    0.000 __init__.py:1514(findCaller)
      175    0.001    0.000    0.043    0.000 __init__.py:1645(callHandlers)
      175    0.001    0.000    0.055    0.000 __init__.py:1565(_log)
       84    0.001    0.000    0.003    0.000 Game.py:212(update_game_state)
      525    0.001    0.000    0.001    0.000 __init__.py:364(getMessage)
      700    0.001    0.000    0.002    0.000 __init__.py:898(acquire)
      155    0.001    0.000    0.048    0.000 __init__.py:1436(info)
      350    0.001    0.000    0.004    0.000 __init__.py:588(formatTime)
      525    0.001    0.000    0.013    0.000 __init__.py:918(format)
      701    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
     1960    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
      175    0.001    0.000    0.021    0.000 handlers.py:61(emit)
      700    0.001    0.000    0.001    0.000 __init__.py:905(release)
      175    0.001    0.000    0.001    0.000 posixpath.py:140(basename)
       16    0.001    0.000    0.085    0.005 Player.py:326(move)
      175    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
      175    0.001    0.000    0.009    0.000 __init__.py:1550(makeRecord)
      525    0.001    0.000    0.002    0.000 __init__.py:633(usesTime)
      525    0.001    0.000    0.001    0.000 __init__.py:427(usesTime)
      175    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
      525    0.001    0.000    0.002    0.000 __init__.py:438(format)
       84    0.001    0.000    0.001    0.000 Game.py:216(<listcomp>)
      700    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      175    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
       92    0.001    0.000    0.292    0.003 protocol.py:4(recvall)
      525    0.000    0.000    0.003    0.000 __init__.py:639(formatMessage)
      175    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      525    0.000    0.000    0.000    0.000 __init__.py:796(filter)
       66    0.000    0.000    0.025    0.000 __init__.py:183(dumps)
       16    0.000    0.000    0.377    0.024 Player.py:20(play)
       32    0.000    0.000    0.177    0.006 Player.py:90(activate_power)
      525    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      175    0.000    0.000    0.044    0.000 __init__.py:1591(handle)
       46    0.000    0.000    0.295    0.006 utils.py:12(receive_json_from_player)
       46    0.000    0.000    0.002    0.000 __init__.py:299(loads)
      525    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       46    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       84    0.000    0.000    0.001    0.000 Game.py:219(<listcomp>)
       46    0.000    0.000    0.010    0.000 utils.py:27(send_json_to_player)
       92    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       16    0.000    0.000    0.082    0.005 Player.py:44(select)
       20    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
      175    0.000    0.000    0.011    0.000 __init__.py:1178(emit)
      175    0.000    0.000    0.000    0.000 threading.py:1306(current_thread)
       46    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      117    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
      175    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
       78    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       46    0.000    0.000    0.292    0.006 protocol.py:15(receive_json)
       46    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
      175    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
       46    0.000    0.000    0.005    0.000 protocol.py:23(send_json)
      701    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      578    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      175    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
      350    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       46    0.000    0.000    0.305    0.007 utils.py:40(ask_question_json)
      175    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      175    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
      138    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      175    0.000    0.000    0.000    0.000 threading.py:1031(name)
      525    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       16    0.000    0.000    0.000    0.000 Player.py:79(<listcomp>)
      350    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      456    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       40    0.000    0.000    0.000    0.000 Game.py:149(<setcomp>)
      175    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.002    0.000 Game.py:147(fantom_scream)
      175    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       20    0.000    0.000    0.008    0.000 __init__.py:1424(debug)
       84    0.000    0.000    0.000    0.000 Game.py:221(<listcomp>)
      380    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 Game.py:204(__repr__)
        4    0.000    0.000    0.377    0.094 Game.py:120(actions)
       12    0.000    0.000    0.000    0.000 Game.py:209(<listcomp>)
       46    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.002    0.002 Game.py:29(__init__)
        4    0.000    0.000    0.386    0.096 Game.py:167(tour)
      175    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
       46    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       16    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
       41    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
       46    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       46    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        4    0.000    0.000    0.000    0.000 Game.py:148(<listcomp>)
       16    0.000    0.000    0.000    0.000 Player.py:49(<listcomp>)
        1    0.000    0.000    0.388    0.388 Game.py:180(lancer)
       16    0.000    0.000    0.000    0.000 Player.py:332(<listcomp>)
       20    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       16    0.000    0.000    0.000    0.000 Player.py:74(get_adjacent_positions)
       92    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       16    0.000    0.000    0.000    0.000 Player.py:82(get_adjacent_positions_from_position)
       90    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fe50f641a60}
       11    0.000    0.000    0.000    0.000 random.py:285(choice)
        4    0.000    0.000    0.000    0.000 random.py:293(shuffle)
        1    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        4    0.000    0.000    0.000    0.000 Game.py:165(<listcomp>)
        4    0.000    0.000    0.000    0.000 Game.py:187(<listcomp>)
       10    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 Player.py:218(<listcomp>)
       63    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 socket.py:496(close)
        2    0.000    0.000    0.000    0.000 Player.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:37(<setcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
       41    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 Player.py:278(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 Game.py:99(<listcomp>)
        1    0.000    0.000    0.001    0.001 Game.py:103(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:184(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 Player.py:223(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Game.py:105(<listcomp>)


